0: 250,279,217,147,275
129: 29,237,316
130: 32,289,308,238
131: 215,33,187,32,85
132: 165,225,239,37
133: 39,240
134: 94,240,40,233,166
135: 41,40,241
136: 283,305,242,169
137: 44,189,45,284,305
138: 97,72,98,45
139: 46,259,294
140: 48,191,171,320
141: 182,321,50,49
142: 53,104,243
143: 55,144,306,286,268
144: 55,206,293,143,306,309
145: 57,193,115,221
146: 59,116,109,60,261
147: 62,275,287,0,250,218
148: 63,3,269
149: 118,64,117,244,3
150: 5,219,245,280
151: 303,246
152: 69,68,153,322,9,120
153: 69,68,152,319,322
154: 70,121,247
155: 11,281,295
156: 22,248,229
157: 249
158: 323,24,77,179,78
159: 323,270
160: 79,127,271
161: 250,80
162: 82,251
163: 252,83
164: 35,36,88,262,272
165: 132,225,253
166: 39,233,134,240,92
167: 95,168,41,94
168: 42,254,95,167,41
169: 96,254,136,283,242
170: 315,264,255,47,99
171: 48,140,285,182,292
172: 102,273,265
173: 103,243,256
174: 57,235,274
175: 202,109
176: 62,217,275
177: 219,113,276,4,280
178: 20,19,74,282,124
179: 323,24,158,77,125,314
180: 27,81,277,202
181: 35,198,89,324
182: 141,321,49,285,171
183: 52,103,192,104
184: 66,113,195
185: 18,73,19,123,74
186: 278,74,73
187: 33,87,86,131
188: 90,325
189: 43,137,45,305,97,317
190: 18,72,288,98
191: 296,140,291,315,320
192: 183,104,307
193: 57,145,210,274,221,108,304
194: 51,52,103,111,260,265
195: 66,113,184,6
196: 30,31,197
197: 31,308,196
198: 35,88,181,34
199: 297,325,36,272
200: 239,91,38,298,90
201: 42,299
202: 175,277,180,81
203: 31,84,114
204: 87,34,300
205: 301,105,268
206: 56,144,293,309
207: 68,9,110,214
208: 114,232,31,30
209: 51,310
210: 193,274,304,56,107
211: 91,92,216,311,326
212: 112,312,2
213: 313,116
214: 7,110,68,207,9,8
215: 131,85
216: 91,211,326,90
217: 176,275,1,112,0,279
218: 26,147,287,250,80,127
219: 5,6,150,177,113
220: 59,58
221: 108,58,115,193,145
222: 313,116,115
223: 21,75,76
224: 22,125,314
225: 132,165,37,89,253
226: 44
227: 55
228: 13,12,71,295
229: 248,156,75
230: 249,323,77
231: 26,79
232: 114,208,252,83
233: 93,40,134,166
234: 102,49,285,292
235: 174,274,107
236: 123
237: 129
238: 130
239: 132,200,90,37
240: 134,39,133,166
241: 41,135,299
242: 136,169
243: 142,173
244: 149,64
245: 150,65,280
246: 151
247: 319,154,121
248: 156,229
249: 157,230,76
250: 161,0,147,218
251: 128,81,82,162
252: 163,232,83
253: 165,225,89
254: 42,96,168,169,95
255: 100,264,170,47
256: 51,103,173
257: 10,121,69,319
258: 27,28
259: 46,47,139,99
260: 50,273,51,194,310
261: 60,146,116
262: 88,164,86,34
263: 96,43,283
264: 101,100,48,170,315,255
265: 172,273,194,111
266: 120,10
267: 126
268: 53,105,286,143,205
269: 148
270: 25,78,159
271: 24,160,78,126
272: 36,164,199,297
273: 50,49,172,260,265
274: 235,193,174,210,107
275: 176,62,217,147,0
276: 113,177,4
277: 60,180,109,202
278: 186
279: 0,217
280: 65,4,302,150,177,245
281: 11,70,122,155
282: 20,178,124,75
283: 43,136,305,96,169,263
284: 44,137,45,290
285: 49,234,182,292,171
286: 53,54,268,143,306
287: 62,147,26,218
288: 18,190,73
289: 32,84,85,130,308
290: 98,284
291: 296,191,315,294,99
292: 101,234,285,48,171
293: 56,106,144,206,107
294: 139,296,291
295: 71,228,155
296: 191,291,320,294
297: 199,272
298: 38,200
299: 42,201,241
300: 204
301: 205,105,307
302: 118,64,65,4,280
303: 110,67,151
304: 108,193,210,56
305: 44,43,189,136,137,283
306: 144,143,309,54,286
307: 104,105,301,192
308: 84,197,130,289
309: 144,206,306,54
310: 51,209,50,260
311: 211,326
312: 212
313: 222,213,116
314: 24,125,179,23,224
315: 48,191,170,291,264
316: 29,82,129,128
317: 97,189
318: 118,65,117
319: 69,153,247,121,257
320: 296,191,140
321: 141,182
322: 68,153,152
323: 158,77,179,159,230
324: 89,181
325: 90,37,188,199
326: 211,216,311
