0: 250,279,217,147,275
168: 42,299,367,41,241
169: 96,254,136,283,242
170: 47,99,264,315,255
171: 48,376,285,182,292
172: 102,273,265
173: 103,183,142,243,256
174: 57,235,274
175: 202,336,109,361
176: 62,217,275,1
177: 219,113,276,4,280
178: 20,19,282,124,74,329
179: 323,24,158,77,125,314
180: 27,375,342,277,202,81
181: 35,89,351,324,331
182: 141,368,49,285,171
183: 52,103,173,359,104,142
184: 66,113,195,369
185: 18,329,72,73,19,123
186: 278,74,329,73
187: 343,330,346,370,86
188: 90,325,332,216
189: 43,137,45,138,97,317
190: 290,98,337
191: 296,140,320,291,315,376
192: 307,359
193: 145,210,274,377,304
194: 51,52,103,111,260,265
195: 66,113,184,360,374,6
196: 30,371,197
197: 31,308,196,371
198: 35,88,351,344,34
199: 297,325,36,272
200: 239,91,38,298,90
201: 42,299
202: 372,175,81,277,180,109
203: 114,352,364,338
204: 87,34,300
205: 301,105,268
206: 56,144,293,309
207: 68,110,214
208: 232,373,31,354,30
209: 256,51,310
210: 193,274,304,56,107,293
211: 91,92,216,311,326
212: 327,312,112
213: 261,313,116
214: 7,110,68,207,9,8
215: 131,370,352
216: 91,211,326,90,188
217: 176,275,1,347,0,279
218: 26,127,147,287,80,357
219: 5,6,150,177,353,113,280
220: 59,361,58
221: 108,58,115,145
222: 362,115,334,145
223: 21,75,76,229
224: 22,125,314
225: 132,165,37,89,253,331
226: 44
227: 55,143
228: 13,12,71,295,122
229: 248,156,223,75,282
230: 249,323,77
231: 26,79
232: 348,208,252,373,29,83
233: 93,135,40,134,166
234: 292,102,285
235: 174,274,106,107
236: 123
237: 129
238: 130
239: 132,200,90,37,332
240: 134,39,133,166
241: 41,135,168,299
242: 136,169
243: 142,173
244: 149,64,269
245: 150,65,280,328
246: 151,360,340
247: 319,154
248: 156,229
249: 157,230,77,76
250: 161,0,147,80
251: 81,366,82,162
252: 348,232,163,83
253: 331,165,225
254: 42,96,169,367,333
255: 100,264,47,170
256: 209,51,103,173
257: 11,10,121,281,69
258: 28
259: 46,47,139,99
260: 50,273,265,51,194,310
261: 60,213,146,116
262: 88,164,344,86
263: 42,96,43,283
264: 101,100,48,315,255,170
265: 172,273,260,194,111
266: 120,10
267: 126
268: 53,105,286,143,205
269: 148,339,149,244
270: 25,78,158,159
271: 24,160,78,341,126
272: 36,164,199,297
273: 50,49,172,260,265
274: 235,193,174,210,377,107
275: 176,62,217,147,0
276: 113,177,4
277: 60,180,109,202
278: 74,186
279: 0,217
280: 65,4,302,150,177,219,245
281: 11,70,122,155,121,257
282: 20,178,229,124,75
283: 43,136,305,96,169,263
284: 44,137,45,98,290
285: 49,182,292,234,171
286: 53,54,268,143,306
287: 62,147,26,218
288: 18,73
289: 84,85,130,308,355
290: 190,98,284
291: 296,191,315,294,139,99
292: 101,234,285,48,171
293: 55,56,106,144,206,107,210
294: 296,291,139
295: 71,228,155
296: 191,320,291,294
297: 199,272
298: 38,200
299: 42,168,201,241
300: 87,204
301: 205,307,105
302: 118,64,65,4,280
303: 7,110,67,151
304: 108,193,210,56
305: 44,43,136,137,283
306: 144,143,309,54,286
307: 301,104,105,192
308: 84,197,130,289
309: 144,206,306,54
310: 141,51,209,50,260
311: 211,326
312: 212
313: 362,213,116
314: 24,125,179,23,224
315: 48,191,291,264,170,99
316: 29,82,129,128
317: 97,189
318: 328,117,118
319: 69,153,247,121
320: 296,191,140
321: 141,368
322: 68,153,152
323: 158,77,179,159,230
324: 331,181,351
325: 37,188,199,332,36
326: 211,216,311
327: 212,117,2
328: 318,245,118,65
329: 73,185,74,186,19,178
330: 33,87,343,34,346,187
331: 253,324,225,89,181
332: 90,37,188,325,239
333: 95,350,254,367
334: 59,116,115,349,222,362
335: 149,118,64,117,3
336: 372,175
337: 18,72,98,190,345
338: 31,364,84,114,203,373
339: 63,3,148,269,356,149
340: 5,6,246,360
341: 25,78,357,160,127,271
342: 27,180
343: 33,330,187,32,131,370
344: 88,198,262,86,34,346
345: 138,72,98,337
346: 330,34,187,344,86
347: 1,63,112,217
348: 114,252,232,373
349: 59,146,116,109,334,361
350: 95,333,367,167,365
351: 198,181,324
352: 131,215,203,364
353: 5,150,219
354: 29,129,208,30
355: 85,130,289,131,32
356: 1,63,148,339
357: 25,80,341,218,127
358: 7,119,8
359: 52,183,104,192
360: 195,374,67,246,6,340
361: 59,109,220,349,175
362: 222,313,334
363: 57,145,377
364: 84,85,338,352,203
365: 94,167,350
366: 27,128,375,82,251,81
367: 42,168,254,350,333,41,167
368: 141,182,321
369: 66,184
370: 131,215,86,343,187
371: 196,30,31,197
372: 202,336,81
373: 114,348,208,232,31,338
374: 66,195,360,67,119
375: 27,180,366,81
376: 48,191,140,171
377: 57,193,145,274,363
