0: 250,279,147
111: 194,265
112: 212,1,2,63,217
113: 195,184,6,177,219
114: 208,232,203
115: 59,222,145,221,58
116: 59,146,261,222,213
117: 149,118,2,3
118: 149,64,65,117
119: 7,67,66
120: 9,266,152
121: 154,257,69,247
122: 70,281,12
123: 19,236,185
124: 21,75,178,282
125: 77,179,76,224
126: 267,23,24,271
127: 25,80,218,26,160
128: 27,28,81,82,162,251
129: 29,237
130: 32,289,238
131: 215,33,187,32,85
132: 165,225,239,37
133: 39,240
134: 94,240,40,233,166
135: 41,40,241
136: 283,242,169
137: 44,43,189,45,283,284
138: 97,72,98,45
139: 46,259,294
140: 48,191,171
141: 182,50,49
142: 53,104
143: 55,144,286,268
144: 55,106,206,293,143,54,286
145: 57,193,115,221
146: 59,116,109,60,261
147: 62,275,287,0,250,218
148: 63,3,269
149: 118,64,117,244,3
150: 5,219,245,280
151: 67,246
152: 69,68,153,9,120
153: 69,68,152
154: 70,121,247
155: 11,281,295
156: 22,248,229
157: 249
158: 24,77,179,159,78,270
159: 158,270
160: 79,127,271
161: 250,80,218
162: 82,128,251
163: 252,83
164: 35,36,88,262,272
165: 132,225,253
166: 39,233,134,240
167: 95,168,41,94
168: 42,254,95,167,41
169: 96,254,136,283,242
170: 48,264,255,47,99
171: 48,140,285,182,292
172: 102,273,265
173: 103,256
174: 57,235,193,274
175: 202,277,109
176: 62,275
177: 219,113,276,4,280
178: 20,19,74,282,124
179: 23,24,158,77,125
180: 27,81,277,202
181: 35,198,89
182: 141,49,285,171
183: 52,104,192
184: 66,113,195
185: 18,73,19,123,74
186: 278,74
187: 33,87,86,131
188: 90,37
189: 43,137,45,97
190: 18,72,288,98
191: 48,296,140,291
192: 104,105,301,183
193: 57,145,174,210,274,221,108
194: 51,52,103,111,260,265
195: 66,113,184,6
196: 30,31,197
197: 31,84,289,196
198: 35,88,181,34
199: 297,36,272
200: 239,91,38,298,90
201: 299
202: 175,277,180,81
203: 31,84,114
204: 87,34,300
205: 301,105,268
206: 56,144,293
207: 68,9,110,214
208: 114,232,31,30
209: 256,51
210: 193,274,108,56,107
211: 91,92,216
212: 112
213: 222,116
214: 7,110,68,207,9,8
215: 131,85
216: 91,211,90
217: 275,1,112,279
218: 80,127,147,287,161,250,26
219: 5,6,150,177,113
220: 59,58
221: 108,58,115,193,145
222: 213,116,115
223: 21,75,76
224: 22,125
225: 132,165,37,89,253
226: 44
227: 55
228: 13,12,71,295
229: 248,156,75
230: 249,77
231: 26,79
232: 114,208,252,83
233: 93,40,134,166
234: 102,49,285
235: 174,274,107
236: 123
237: 129
238: 130
239: 132,200,90,37
240: 134,39,133,166
241: 41,135,299
242: 136,169
243: 142,173
244: 149,64
245: 150,65,280
246: 151
247: 154,121
248: 156,229
249: 157,230,76
250: 161,0,147,218
251: 128,81,162
252: 163,232,83
253: 165,225,89
254: 42,96,168,169,95
255: 100,264,170,47
256: 209,51,103,173
257: 10,121,69
258: 28
259: 46,47,139,99
260: 50,273,51,194
261: 60,146,116
262: 88,164,86,34
263: 96,43,283
264: 101,100,48,170,255
265: 172,273,194,111
266: 120,10
267: 126
268: 53,105,286,143,205
269: 148
270: 25,78,158,159
271: 24,160,78,126
272: 36,164,199,297
273: 50,49,172,260,265
274: 235,193,174,210,107
275: 176,62,217,147
276: 113,177,4
277: 60,180,109,202,175
278: 186
279: 0,217
280: 64,65,4,150,177,245
281: 11,70,122,155
282: 20,178,124,75
283: 43,136,137,96,169,263
284: 44,137,45,290
285: 49,234,182,292,171
286: 53,54,268,144,143
287: 62,147,26,218
288: 18,190,73
289: 32,84,85,197,130
290: 98,284
291: 296,191,294,99
292: 101,285,48,171
293: 56,106,144,206,107
294: 139,296,291
295: 71,228,155
296: 191,291,294
297: 199,272
298: 38,200
299: 42,201,241
300: 204
301: 205,105,192
